LTER	Dataset	Locale	Rarefied.richness.trend	Evenness.trend	Jaccard.trend
Arctic	Arctic_StreamInsects_-500	-500	2.24083508036102	3.42005459389912	NA
Arctic	Arctic_StreamInsects_-400	-400	1.82814620696275	0.816038019747312	NA
Arctic	Arctic_StreamInsects_140	140	-0.418745151687988	-0.569223748406898	1.28258393951402
Arctic	Arctic_StreamInsects_340	340	1.64140989710582	-0.383754240437244	0.0518489564235154
Arctic	Arctic_StreamInsects_590	590	1.83758067696505	-0.737209922813938	1.87753432589522
Arctic	Arctic_StreamInsects_2000	2000	1.517444815241	-1.86825874092202	-2.21135526908773
Arctic	Arctic_StreamInsects_3000	3000	1.67736030720246	-2.37211802711972	0.899164400382389
Arctic	Arctic_StreamInsects_1000	1000	2.50516800256565	-2.02183882464143	5.70755897974553
Arctic	Arctic_StreamInsects_-1000	-1000	2.73835606899666	3.14456837565178	NA
Arctic	Arctic_StreamInsects_740	740	0.87917964978432	-2.90249601485046	0.941919327278008
Arctic	Arctic_StreamInsects_1400	1400	-0.685156474488629	-3.00662169730726	-1.18196929313016
Baltimore	Baltimore_Mosquitoes_CP	CP	-1.74929203228698	-1.10100896375039	-1.33865182697544
Baltimore	Baltimore_Mosquitoes_VN	VN	-0.806461324195847	0.0456036074933913	-0.329641517206336
CedarCreek	CedarCreek_Grasshoppers_4	4	2.39110894625976	2.72171028899616	1.12936205295272
CedarCreek	CedarCreek_Grasshoppers_5	5	-0.0554227028667565	-1.7265227833879	1.7196157020769
CedarCreek	CedarCreek_Grasshoppers_11	11	0.631849877464207	0.566975683939569	-2.14573213908095
CedarCreek	CedarCreek_Grasshoppers_21	21	0.39398923006242	-0.25682737939637	-3.06659773034975
CedarCreek	CedarCreek_Grasshoppers_24	24	0.462171752852314	-0.666649896596802	2.00963427829782
CedarCreek	CedarCreek_Grasshoppers_26	26	-1.27661571203602	-1.63258166639158	-0.0662559991180817
CedarCreek	CedarCreek_Grasshoppers_27	27	-1.68293544264422	-2.20930265654113	0.334725792802135
CedarCreek	CedarCreek_Grasshoppers_28	28	0.350365115947832	1.13775690833098	-3.05071226608011
CedarCreek	CedarCreek_Grasshoppers_32	32	-0.0782028367390552	-0.406022507354898	-1.7445702813296
CedarCreek	CedarCreek_Grasshoppers_35	35	-0.485098727842051	-0.824753524267301	-1.24513027364799
CedarCreek	CedarCreek_Grasshoppers_39	39	-1.7875706223617	-2.13959519261356	-4.34672969635031
CedarCreek	CedarCreek_Grasshoppers_40	40	-1.43344090476099	-1.60780248114642	0.404236472687659
CedarCreek	CedarCreek_Grasshoppers_41	41	-1.08465000185129	-1.44129987827452	2.51241071209588
CedarCreek	CedarCreek_Grasshoppers_44	44	-1.92348104295667	-2.25903838905375	2.45620317881874
CedarCreek	CedarCreek_Grasshoppers_45	45	-0.142740926933443	-0.836518914924029	1.17404982236804
CedarCreek	CedarCreek_Grasshoppers_47	47	-1.66476312511187	-1.89334082825875	0.0392658445134222
